CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,758.949585,30,1303,0,5.56
AREA,741.435669,30,913,0,2.81
AREA,747.403015,30,768,0,3.37
AREA,743.874939,30,905,0,4.39
AREA,761.990417,30,956,0,3.81
AREA,744.692139,30,1014,0,5.20
AREA,730.840881,30,920,0,3.57
AREA,751.692932,30,960,0,2.01
AREA,764.453308,30,846,0,4.07
AREA,771.268127,30,1118,0,4.21
AREA,744.821838,30,918,0,5.27
AREA,778.484741,30,1028,0,4.64
AREA,785.791199,30,850,0,4.10
AREA,752.111816,30,1645,0,3.99
AREA,718.331238,30,1217,0,4.98
