CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
BUBBLE,744.532837,10,901,0,6.38
BUBBLE,864.392578,10,934,0,5.22
BUBBLE,828.809082,10,959,0,6.06
BUBBLE,779.086548,10,1162,0,6.57
BUBBLE,760.875549,10,1270,0,6.20
BUBBLE,733.298096,10,755,0,7.00
BUBBLE,830.222778,10,631,0,5.43
BUBBLE,775.799561,10,953,0,6.49
BUBBLE,851.032654,10,1095,0,5.06
BUBBLE,882.092834,10,772,0,6.30
BUBBLE,846.469849,10,1761,1,6.90
BUBBLE,736.749695,10,914,0,5.74
BUBBLE,808.292542,10,1038,0,7.09
BUBBLE,639.692810,10,865,0,6.35
BUBBLE,602.402039,10,743,0,5.76
