CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,709.376221,10,2004,1,6.45
STANDARD,750.703430,10,1144,0,6.64
STANDARD,689.785034,10,1003,0,5.54
STANDARD,731.356079,10,856,0,5.56
STANDARD,759.875305,10,3078,2,5.59
STANDARD,710.326538,10,2454,1,6.23
STANDARD,785.311157,10,837,0,5.06
STANDARD,733.085815,10,1437,0,5.49
STANDARD,663.398071,10,1553,0,6.76
STANDARD,738.517639,10,2085,1,6.28
STANDARD,718.875854,10,1341,0,6.51
STANDARD,741.473267,10,1121,0,5.83
STANDARD,723.730225,10,1969,1,5.91
STANDARD,706.584290,10,1498,0,6.40
STANDARD,665.894165,10,1874,1,7.29
