CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
BUBBLE,917.610657,10,1432,0,6.71
BUBBLE,697.329468,10,767,0,6.68
BUBBLE,963.152649,10,233,0,2.26
BUBBLE,707.075989,10,1069,0,5.58
BUBBLE,861.784790,10,783,0,6.57
BUBBLE,772.861206,10,650,0,6.75
BUBBLE,867.787476,10,716,0,7.24
BUBBLE,686.853394,10,746,0,6.56
BUBBLE,622.464722,10,714,0,4.16
BUBBLE,813.823181,10,699,0,6.13
BUBBLE,742.771606,10,1085,0,7.03
BUBBLE,591.285278,10,983,0,6.38
BUBBLE,353.988831,10,777,0,5.81
BUBBLE,815.763000,10,1100,0,5.14
BUBBLE,413.459412,10,1353,1,6.57
