CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
STANDARD,730.418335,30,1051,0,4.27
STANDARD,733.824585,30,1301,0,4.50
STANDARD,759.601563,30,1069,0,5.23
STANDARD,728.411377,30,1666,1,4.88
STANDARD,744.848999,30,1200,0,5.21
STANDARD,782.000793,30,1088,0,5.55
STANDARD,705.997131,30,1018,0,4.39
STANDARD,730.902100,30,1186,0,5.42
STANDARD,702.097534,30,1201,0,4.98
STANDARD,768.667847,30,919,0,4.15
STANDARD,741.026001,30,1235,0,5.52
STANDARD,731.041748,30,1034,0,5.17
STANDARD,769.208801,30,775,0,2.55
STANDARD,740.273865,30,968,0,3.35
STANDARD,777.563904,30,981,0,5.06
