CursorType,AverageDistance,TargetSize,CompletionTime,Error,FittsID
AREA,890.572998,10,883,0,4.67
AREA,819.014221,10,667,0,5.02
AREA,721.665649,10,666,0,4.40
AREA,521.933105,10,902,0,5.80
AREA,770.264282,10,665,0,5.74
AREA,726.912292,10,950,0,6.33
AREA,719.166565,10,683,0,6.27
AREA,667.138184,10,716,0,6.59
AREA,702.809326,10,832,0,6.48
AREA,761.239807,10,750,0,6.36
AREA,753.036804,10,600,0,6.00
AREA,669.597595,10,683,1,6.09
AREA,664.795410,10,920,1,5.13
AREA,734.873352,10,848,0,5.00
AREA,808.737305,10,968,0,6.32
